segment                                   peek  keep  take  seal  free
spin_445                                     0     0     0     0     0
spin_440                                     1     0     0     0     0
spin_439                                     0     0     0     0     0
spin_437                                     0     0     0     0     0
spin_435                                     0     0     0     0     0
spin_434                                     0     0     0     0     0
spin_431                                     0     0     0     0     0
spin_428                                     0     0     0     0     0
spin_423                                     0     0     0     0     0
spin_421                                     0     0     0     0     0
spin_42                                      0     0     0     0     0
spin_418                                     0     0     0     0     0
spin_417                                     0     0     0     0     0
spin_415                                     0     0     0     0     0
spin_414                                     0     0     0     0     0
spin_412                                     0     0     0     0     0
spin_410                                     0     0     0     0     0
spin_409                                     0     0     0     0     0
spin_406                                     0     0     0     0     0
spin_403                                     0     0     0     0     0
spin_402                                     0     0     0     0     0
spin_40                                      0     0     0     0     0
spin_4                                       0     0     0     0     0
spin_397                                     0     0     0     0     0
spin_394                                     0     0     0     0     0
spin_393                                     0     0     0     0     0
spin_392                                     0     0     0     0     0
spin_391                                     0     0     0     0     0
spin_390                                     1     0     0     0     0
spin_39                                      0     0     0     0     0
spin_389                                     0     0     0     0     0
spin_386                                     0     0     0     0     0
spin_385                                     1     0     0     0     0
spin_384                                     0     0     0     0     0
spin_382                                     0     0     0     0     0
spin_379                                     0     0     0     0     0
spin_378                                     0     0     0     0     0
spin_377                                     0     0     0     0     0
spin_376                                     0     0     0     0     0
spin_371                                     0     0     0     0     0
spin_370                                     0     0     0     0     0
spin_369                                     0     0     0     0     0
spin_365                                     0     0     0     0     0
spin_361                                     0     0     0     0     0
spin_360                                     0     0     0     0     0
spin_36                                      1     0     0     0     0
spin_359                                     0     0     0     0     0
spin_358                                     0     0     0     0     0
spin_356                                     0     0     0     0     0
spin_355                                     0     0     0     0     0
spin_351                                     0     0     0     0     0
spin_35                                      0     0     0     0     0
spin_349                                     0     0     0     0     0
spin_347                                     0     0     0     0     0
spin_346                                     0     0     0     0     0
spin_345                                     0     0     0     0     0
spin_344                                     0     0     0     0     0
spin_343                                     0     0     0     0     0
