using: bun /tmp/bend/bend2/main.ts
segment                                   peek  keep  take  seal  free
FID_DECODE_RUN_DONE                          0     0     2     0     0
FID_DECODE_ROOT_OBJECT_K985                  0     2     0     0     0
FID_DECODE_ROOT_OBJECT_K983                  0     2     0     0     0
FID_DECODE_ROOT_OBJECT                       0     2     0     0     0
FID_DECODE_POP_K728                          0     0     0     2     0
FID_DECODE_POP_K727                          0     0     0     2     0
FID_DECODE_MERGE_K628                        0     2     0     0     0
FID_DECODE_MERGE_K626                        0     2     0     0     0
FID_DECODE_MERGE_K622                        0     2     0     0     0
FID_DECODE_HOT_LOOK                          1     1     1     0     0
FID_DECODE_HDR_B                             0     0     2     0     0
FID_DECODE_FIELD_INS                         0     2     0     0     0
FID_DECODE_ENTRY_GET                         0     1     1     0     0
FID_DECODE_DUPS                              0     2     0     0     0
FID_DECODE_DECODE_SCANNED_K1335              0     2     0     0     0
FID_DECODE_ARRAY_K861                        0     0     0     2     0
FID_CLI_E77_K1898                            0     0     0     2     0
FID_CLI_E77_K1896                            0     0     0     2     0
FID_CLI_E77_K1894                            0     0     0     2     0
FID_CLI_C_ADD                                0     0     0     2     0
FID_CLI_CONVERT                              0     2     0     0     0
FID_CLI_BEST_ONE_K1732                       0     2     0     0     0
FID_BIGNAT_SUB                               0     0     2     0     0
FID_BIGNAT_MUL                               0     1     1     0     0
FID_BIGNAT_DIV_STEP                          0     2     0     0     0
FID_BIGNAT_DIVMOD                            0     2     0     0     0
spin_529                                     0     0     1     0     0
spin_525                                     0     0     1     0     0
spin_52                                      0     0     1     0     0
spin_508                                     0     0     1     0     0
spin_504                                     0     0     1     0     0
spin_499                                     0     0     1     0     0
spin_494                                     0     1     0     0     0
spin_485                                     0     0     1     0     0
spin_473                                     0     0     1     0     0
spin_46                                      0     0     1     0     0
spin_450                                     0     0     1     0     0
spin_434                                     0     0     1     0     0
spin_404                                     0     0     1     0     0
spin_40                                      0     1     0     0     0
spin_393                                     0     0     1     0     0
spin_39                                      0     1     0     0     0
spin_370                                     0     0     1     0     0
spin_364                                     0     0     1     0     0
spin_363                                     0     0     1     0     0
spin_361                                     0     1     0     0     0
spin_35                                      0     0     1     0     0
spin_338                                     0     0     1     0     0
spin_337                                     0     1     0     0     0
spin_335                                     0     1     0     0     0
spin_311                                     0     1     0     0     0
spin_310                                     0     0     1     0     0
spin_308                                     0     0     1     0     0
spin_304                                     0     0     1     0     0
spin_3                                       0     0     1     0     0
spin_295                                     0     0     1     0     0
spin_292                                     0     0     1     0     0
spin_291                                     0     0     1     0     0
spin_280                                     0     0     1     0     0
spin_278                                     0     0     1     0     0
spin_26                                      0     0     1     0     0
spin_256                                     0     1     0     0     0
spin_255                                     0     0     1     0     0
spin_252                                     0     0     1     0     0
spin_242                                     0     0     0     1     0
spin_235                                     0     0     1     0     0
spin_233                                     0     1     0     0     0
spin_232                                     0     1     0     0     0
spin_221                                     0     0     0     1     0
spin_200                                     0     0     1     0     0
spin_199                                     0     0     1     0     0
spin_168                                     0     1     0     0     0
spin_163                                     0     0     1     0     0
spin_162                                     0     0     1     0     0
spin_158                                     0     0     1     0     0
spin_136                                     0     0     1     0     0
spin_119                                     0     0     1     0     0
spin_117                                     0     0     1     0     0
spin_113                                     0     0     1     0     0
spin_107                                     0     0     1     0     0
spin_105                                     0     0     1     0     0
spin_100                                     0     0     1     0     0
FID_TEXT_KT_PUT_GO_K957                      0     0     0     1     0
FID_STRING_REPEAT                            0     1     0     0     0
FID_STRING_APPEND                            0     0     1     0     0
FID_READ_LOOP                                0     0     1     0     0
FID_LIST_APPEND                              0     0     1     0     0
FID_JSON_RUN                                 0     0     1     0     0
FID_JSON_KT_OF_CHAIN                         0     0     1     0     0
FID_JSON_KM_PUT_GO_K500                      0     0     0     1     0
FID_JSON_KM_OF                               0     0     1     0     0
FID_F64_TOKEN_VALUE                          0     1     0     0     0
FID_F64_SHORTEST_FAST_K1147                  0     1     0     0     0
FID_F64_SHORTEST_FAST                        0     1     0     0     0
FID_F64_ROUND_K1504                          0     1     0     0     0
FID_F64_ROUND_K1503                          0     1     0     0     0
FID_F64_ROUND_K1502                          0     1     0     0     0
FID_F64_ROUND                                0     1     0     0     0
FID_F64_LITERAL                              0     0     1     0     0
FID_F64_FROM_DEC_P10                         0     1     0     0     0
FID_F64_DIGITS_TEXT                          0     0     1     0     0
FID_F64_DG_STEP_WITH_K373                    0     1     0     0     0
FID_F64_DG_STEP_WITH_K369                    0     1     0     0     0
