segment                                   peek  keep  take  seal  free
FID_ENCODE_EMIT_K1222                        0     0     0     2     0
FID_ENCODE_EMIT_K1221                        0     0     0     2     0
FID_ENCODE_EMIT_K1220                        0     0     0     2     0
FID_ENCODE_DOTTED_GO                         0     1     1     0     0
FID_DECODE_X_NORM_K802                       0     0     0     2     0
FID_DECODE_X_NORM_K799                       0     0     0     2     0
FID_DECODE_XV_OPEN_K142                      0     0     0     2     0
FID_DECODE_XO_SET_K245                       0     0     0     2     0
FID_DECODE_XM_SET_GO_K121                    0     0     0     2     0
FID_DECODE_XM_SET_GO_K119                    0     0     0     2     0
FID_DECODE_POP_K494                          0     0     0     2     0
FID_DECODE_POP_K493                          0     0     0     2     0
FID_DECODE_PLAN                              0     1     1     0     0
FID_DECODE_MERGE_K388                        0     2     0     0     0
FID_DECODE_MERGE_K386                        0     2     0     0     0
FID_DECODE_MERGE_K382                        0     2     0     0     0
FID_DECODE_ARRAY_K639                        0     0     0     2     0
FID_CLI_E77_K1455                            0     0     0     2     0
FID_CLI_E77_K1453                            0     0     0     2     0
FID_CLI_E77_K1451                            0     0     0     2     0
FID_CLI_C_ADD                                0     0     0     2     0
FID_CLI_BEST_ONE_K1287                       0     2     0     0     0
FID_BIGNAT_SUB                               0     0     2     0     0
FID_BIGNAT_MUL                               0     1     1     0     0
FID_BIGNAT_DIV_STEP                          0     2     0     0     0
FID_BIGNAT_DIVMOD                            0     2     0     0     0
spin_94                                      0     0     1     0     0
spin_86                                      0     0     1     0     0
spin_85                                      0     0     1     0     0
spin_79                                      0     0     1     0     0
spin_76                                      0     1     0     0     0
spin_63                                      0     0     1     0     0
spin_62                                      0     1     0     0     0
spin_6                                       0     0     1     0     0
spin_54                                      0     0     1     0     0
spin_44                                      0     0     1     0     0
spin_435                                     0     0     1     0     0
spin_43                                      0     1     0     0     0
spin_425                                     0     0     1     0     0
spin_417                                     0     0     1     0     0
spin_412                                     0     0     1     0     0
spin_408                                     0     0     1     0     0
spin_395                                     0     0     1     0     0
spin_387                                     0     0     1     0     0
spin_38                                      0     0     1     0     0
spin_373                                     0     1     0     0     0
spin_318                                     0     0     1     0     0
spin_31                                      0     0     1     0     0
spin_299                                     0     1     0     0     0
spin_270                                     0     0     1     0     0
spin_269                                     0     0     1     0     0
spin_262                                     0     0     1     0     0
spin_248                                     0     1     0     0     0
spin_245                                     0     1     0     0     0
spin_237                                     0     0     1     0     0
spin_23                                      0     0     1     0     0
spin_229                                     0     0     1     0     0
spin_228                                     0     0     1     0     0
spin_226                                     0     0     1     0     0
spin_224                                     0     1     0     0     0
spin_219                                     0     0     1     0     0
spin_214                                     0     0     1     0     0
spin_213                                     0     0     1     0     0
spin_206                                     0     1     0     0     0
spin_205                                     0     0     1     0     0
spin_203                                     0     0     1     0     0
spin_179                                     0     0     1     0     0
spin_176                                     0     0     1     0     0
spin_161                                     0     0     1     0     0
spin_160                                     0     0     1     0     0
spin_158                                     0     0     1     0     0
spin_154                                     0     0     1     0     0
spin_146                                     0     0     0     1     0
spin_145                                     0     0     1     0     0
spin_12                                      0     0     1     0     0
FID_STRING_REPEAT                            0     1     0     0     0
FID_STRING_APPEND                            0     0     1     0     0
FID_READ_LOOP                                0     0     1     0     0
FID_LIST_APPEND                              0     0     1     0     0
FID_JSON_RUN                                 0     0     1     0     0
FID_JSON_OBJ_MEMBER                          0     1     0     0     0
FID_JSON_KM_OF                               0     0     1     0     0
FID_F64_SHORTEST_FAST_K948                   0     1     0     0     0
FID_F64_SHORTEST_FAST                        0     1     0     0     0
FID_F64_SERDE_VALUE                          0     1     0     0     0
FID_F64_SERDE_INT_STEP                       0     1     0     0     0
FID_F64_SERDE_INT                            0     0     1     0     0
FID_F64_SERDE_FRAC_STEP                      0     1     0     0     0
FID_F64_SERDE_FRAC                           0     0     1     0     0
FID_F64_ROUND_K917                           0     1     0     0     0
FID_F64_ROUND_K916                           0     1     0     0     0
FID_F64_ROUND_K915                           0     1     0     0     0
FID_F64_ROUND                                0     1     0     0     0
FID_F64_FROM_DEC_P10                         0     1     0     0     0
FID_F64_FIXED1_TENTHS_K738                   0     1     0     0     0
FID_F64_FIXED1_TENTHS_K737                   0     1     0     0     0
FID_F64_DIGITS_TEXT                          0     0     1     0     0
