Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.24     0.00       28     0.00     0.00  WL_FID_BIGNAT_SUB_K651
  0.00      4.24     0.00       25     0.00     0.00  WL_FID_F64_ROUND_K1234
  0.00      4.24     0.00       25     0.00     0.00  WL_FID_F64_ROUND_K1235
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_ENTER
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_EXIT
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_DG_SCALE_K601
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_DG_SCALE_K602
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_DG_SCALE_K603
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_PLAIN_SMALL
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_PLAIN_SMALL_K646
  0.00      4.24     0.00       21     0.00     0.00  WL_FID_F64_PLAIN_SMALL_K647
  0.00      4.24     0.00       21     0.00     0.18  corpus_eval
  0.00      4.24     0.00       20     0.00     0.00  WL_FID_IO_BIND
  0.00      4.24     0.00       20     0.00     0.00  WL_FID_IO_BIND_C1959
  0.00      4.24     0.00       20     0.00     0.00  WL_FID_IO_BIND_K1960
  0.00      4.24     0.00       19     0.00     0.02  io_exec
  0.00      4.24     0.00       16     0.00     0.24  io_step
  0.00      4.24     0.00       16     0.00     0.00  io_sync
  0.00      4.24     0.00       15     0.00     0.01  io_wait
  0.00      4.24     0.00       15     0.00     0.00  io_work
  0.00      4.24     0.00       14     0.00     0.00  WL_FID_F64_PLAIN_K748
  0.00      4.24     0.00       14     0.00     0.00  WL_FID_FILE_READ_BYTES
  0.00      4.24     0.00       14     0.00     0.00  WL_FID_READ_LOOP
  0.00      4.24     0.00       14     0.00     0.00  file_read_bytes_call
  0.00      4.24     0.00       14     0.00     0.01  file_read_bytes_pack
  0.00      4.24     0.00       14     0.00     0.00  file_read_bytes_run
  0.00      4.24     0.00       13     0.00     0.00  WL_FID_READ_LOOP_C1577
  0.00      4.24     0.00       13     0.00     0.00  WL_FID_READ_LOOP_C1578
  0.00      4.24     0.00       11     0.00     0.00  spin_433
  0.00      4.24     0.00        7     0.00     0.00  WL_FID_F64_PLAIN_K749
  0.00      4.24     0.00        3     0.00     0.00  WL_FID_CLI_RESOLVE
  0.00      4.24     0.00        3     0.00     0.00  WL_FID_CLI_SCAN
  0.00      4.24     0.00        3     0.00     0.00  WL_FID_CLI_TOKS_GO
  0.00      4.24     0.00        3     0.00     0.00  WL_FID_TEXT_KS_PUT_GO_K735
  0.00      4.24     0.00        3     0.00     0.00  io_str
  0.00      4.24     0.00        3     0.00     0.00  spin_148
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_COMMIT
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_C_ADD
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_ON_TOK
  0.00      4.24     0.00        2     0.00     0.00  WL_FID_CLI_SCAN_K1896
